timeSec,trialIndex,configurationIndex,pegColor,force,event
15.587,1,4,Red,0.0000,PickedUp
15.629,1,4,Red,0.0000,
15.684,1,4,Red,0.0000,
15.741,1,4,Red,0.0000,
15.796,1,4,Red,0.0000,
15.852,1,4,Red,0.0000,
15.907,1,4,Red,0.0000,
15.963,1,4,Red,0.0000,
16.019,1,4,Red,0.0000,
16.074,1,4,Red,0.0000,
16.130,1,4,Red,0.0000,
16.186,1,4,Red,0.0000,
16.241,1,4,Red,0.0000,
16.297,1,4,Red,0.0000,
16.353,1,4,Red,0.0000,
16.409,1,4,Red,0.0000,
16.464,1,4,Red,0.0000,
16.520,1,4,Red,0.0000,
16.585,1,4,Red,0.0000,
16.645,1,4,Red,0.0000,
16.701,1,4,Red,0.0000,
16.757,1,4,Red,0.0000,
16.812,1,4,Red,0.0000,
16.868,1,4,Red,0.0000,
16.924,1,4,Red,0.0000,
16.979,1,4,Red,0.0000,
17.035,1,4,Red,0.0000,
17.091,1,4,Red,0.0000,
17.146,1,4,Red,0.0000,
17.203,1,4,Red,0.0000,
17.258,1,4,Red,0.0000,
17.313,1,4,Red,0.0408,
17.369,1,4,Red,0.1067,
17.425,1,4,Red,0.2027,
17.481,1,4,Red,0.2293,
17.536,1,4,Red,0.2628,
17.592,1,4,Red,0.3053,
17.648,1,4,Red,0.2857,
17.703,1,4,Red,0.2781,
17.759,1,4,Red,0.2774,
17.815,1,4,Red,0.2664,
17.871,1,4,Red,0.2274,
17.926,1,4,Red,0.1871,
17.982,1,4,Red,0.1819,
18.039,1,4,Red,0.1863,
18.093,1,4,Red,0.2371,
18.149,1,4,Red,0.3524,
18.205,1,4,Red,0.3724,
18.260,1,4,Red,0.3707,
18.316,1,4,Red,0.3683,
18.372,1,4,Red,0.3788,
18.428,1,4,Red,0.4994,
18.483,1,4,Red,0.5641,
18.539,1,4,Red,0.6005,
18.594,1,4,Red,0.6256,
18.650,1,4,Red,0.6979,
18.706,1,4,Red,0.7443,
18.762,1,4,Red,0.7712,
18.817,1,4,Red,0.8320,
18.874,1,4,Red,0.8254,
18.929,1,4,Red,0.8137,
18.985,1,4,Red,0.8571,
