timeSec,trialIndex,configurationIndex,pegColor,force,event
6.186,1,3,Red,0.0000,PickedUp
6.228,1,3,Red,0.0000,
6.284,1,3,Red,0.0000,
6.338,1,3,Red,0.0000,
6.395,1,3,Red,0.0000,
6.450,1,3,Red,0.0000,
6.506,1,3,Red,0.0000,
6.562,1,3,Red,0.0000,
6.618,1,3,Red,0.0000,
6.673,1,3,Red,0.0000,
6.728,1,3,Red,0.0000,
6.784,1,3,Red,0.0000,
6.840,1,3,Red,0.0000,
8.887,1,3,Red,0.0000,PickedUp
8.930,1,3,Red,0.0000,
25.023,1,3,Green,0.0000,PickedUp
25.066,1,3,Green,0.0000,
25.121,1,3,Green,0.0000,
25.176,1,3,Green,0.0000,
25.232,1,3,Green,0.0000,
25.288,1,3,Green,0.0000,
25.344,1,3,Green,0.0000,
25.399,1,3,Green,0.0000,
25.455,1,3,Green,0.0000,
25.510,1,3,Green,0.0000,
25.566,1,3,Green,0.0000,
25.622,1,3,Green,0.0000,
25.678,1,3,Green,0.0000,
25.733,1,3,Green,0.0000,
25.789,1,3,Green,0.0000,
26.151,1,3,Green,0.0000,PickedUp
26.194,1,3,Green,0.0000,
26.250,1,3,Green,0.0000,
26.304,1,3,Green,0.0000,
26.360,1,3,Green,0.0000,
26.415,1,3,Green,0.0000,
26.471,1,3,Green,0.0000,
26.527,1,3,Green,0.0000,
26.582,1,3,Green,0.0000,
26.638,1,3,Green,0.0000,
26.694,1,3,Green,0.0000,
26.749,1,3,Green,0.0000,
26.805,1,3,Green,0.0000,
26.861,1,3,Green,0.0000,
26.917,1,3,Green,0.0000,
26.972,1,3,Green,0.0000,
27.028,1,3,Green,0.0000,
27.092,1,3,Green,0.0000,
27.153,1,3,Green,0.0000,
27.209,1,3,Green,0.0000,
27.265,1,3,Green,0.0000,
27.320,1,3,Green,0.0000,
27.376,1,3,Green,0.0000,
27.432,1,3,Green,0.0000,
27.488,1,3,Green,0.0000,
27.543,1,3,Green,0.0000,
27.599,1,3,Green,0.0000,
27.654,1,3,Green,0.0000,
27.711,1,3,Green,0.0000,
27.766,1,3,Green,0.0000,
27.821,1,3,Green,0.0000,
27.877,1,3,Green,0.0000,
27.933,1,3,Green,0.0000,
27.989,1,3,Green,0.0000,
28.044,1,3,Green,0.0000,
28.100,1,3,Green,0.0000,
28.156,1,3,Green,0.0000,
28.211,1,3,Green,0.0000,
28.267,1,3,Green,0.0000,
28.323,1,3,Green,0.0000,
28.378,1,3,Green,0.0000,
