timeSec,trialIndex,configurationIndex,pegColor,force,event
7.666,1,3,Green,0.0000,PickedUp
7.708,1,3,Green,0.0000,
7.763,1,3,Green,0.0000,
7.820,1,3,Green,0.0000,
7.875,1,3,Green,0.0000,
7.929,1,3,Green,0.0000,
7.985,1,3,Green,0.0000,
8.041,1,3,Green,0.0000,
8.096,1,3,Green,0.0000,
8.152,1,3,Green,0.0000,
8.208,1,3,Green,0.0000,
8.263,1,3,Green,0.0000,
8.319,1,3,Green,0.0000,
8.374,1,3,Green,0.0000,
8.430,1,3,Green,0.0000,
8.485,1,3,Green,0.0000,
8.541,1,3,Green,0.0000,
8.596,1,3,Green,0.0000,
8.652,1,3,Green,0.0000,
8.708,1,3,Green,0.0000,
8.763,1,3,Green,0.0000,
8.818,1,3,Green,0.0000,
8.874,1,3,Green,0.0000,
8.929,1,3,Green,0.0327,
8.985,1,3,Green,0.2676,
9.040,1,3,Green,0.5863,
9.096,1,3,Green,1.0000,
9.152,1,3,Green,1.0000,
9.207,1,3,Green,1.0000,
9.262,1,3,Green,1.0000,
9.318,1,3,Green,1.0000,
9.374,1,3,Green,0.7277,
9.430,1,3,Green,0.1260,
9.485,1,3,Green,0.0774,
9.542,1,3,Green,0.0576,
9.596,1,3,Green,0.0593,
9.652,1,3,Green,0.0615,
9.707,1,3,Green,0.0960,
9.763,1,3,Green,0.1648,
9.818,1,3,Green,0.2247,
9.874,1,3,Green,0.2908,
9.929,1,3,Green,0.3934,
9.985,1,3,Green,0.5028,
10.041,1,3,Green,0.5441,
10.097,1,3,Green,0.5468,
10.152,1,3,Green,0.5438,
10.208,1,3,Green,0.5328,
10.263,1,3,Green,0.4518,
10.319,1,3,Green,0.3910,
10.376,1,3,Green,0.3634,
10.430,1,3,Green,0.3558,
10.485,1,3,Green,0.3382,
10.541,1,3,Green,0.3392,
10.597,1,3,Green,0.3582,
10.652,1,3,Green,0.3587,
10.707,1,3,Green,0.4357,
10.763,1,3,Green,0.5162,
10.819,1,3,Green,0.5136,
10.874,1,3,Green,0.5275,
10.930,1,3,Green,0.6110,
10.986,1,3,Green,0.7092,
11.041,1,3,Green,0.8525,
11.097,1,3,Green,0.8422,
11.152,1,3,Green,0.6872,
11.209,1,3,Green,0.4769,
11.263,1,3,Green,0.3853,
11.319,1,3,Green,0.3683,
11.374,1,3,Green,0.3756,
11.430,1,3,Green,0.3807,
11.485,1,3,Green,0.3768,
11.541,1,3,Green,0.3604,
11.597,1,3,Green,0.3023,
11.652,1,3,Green,0.2435,
11.708,1,3,Green,0.2188,
11.763,1,3,Green,0.1866,
11.819,1,3,Green,0.1722,
11.875,1,3,Green,0.1726,
11.930,1,3,Green,0.1731,
11.986,1,3,Green,0.1763,
12.043,1,3,Green,0.1800,
12.080,1,3,Green,0.1832,Placed
