timeSec,trialIndex,configurationIndex,pegColor,force,event
9.724,1,3,Red,0.0000,PickedUp
9.766,1,3,Red,0.0000,
9.821,1,3,Red,0.0000,
9.877,1,3,Red,0.0000,
9.932,1,3,Red,0.0000,
9.989,1,3,Red,0.0000,
10.044,1,3,Red,0.0000,
10.100,1,3,Red,0.0000,
10.155,1,3,Red,0.0000,
10.211,1,3,Red,0.0000,
10.267,1,3,Red,0.0000,
10.322,1,3,Red,0.0000,
10.378,1,3,Red,0.0000,
10.434,1,3,Red,0.0000,
10.490,1,3,Red,0.0000,
10.545,1,3,Red,0.0000,
10.601,1,3,Red,0.0000,
10.657,1,3,Red,0.0000,
10.713,1,3,Red,0.0000,
10.768,1,3,Red,0.0000,
10.825,1,3,Red,0.0000,
10.880,1,3,Red,0.0000,
10.935,1,3,Red,0.0000,
10.991,1,3,Red,0.0000,
11.047,1,3,Red,0.0000,
11.102,1,3,Red,0.0000,
11.158,1,3,Red,0.0000,
11.214,1,3,Red,0.0000,
11.270,1,3,Red,0.0000,
11.325,1,3,Red,0.0000,
11.381,1,3,Red,0.0000,
11.437,1,3,Red,0.0000,
11.492,1,3,Red,0.0000,
11.548,1,3,Red,0.0000,
11.604,1,3,Red,0.0000,
11.660,1,3,Red,0.0000,
11.715,1,3,Red,0.0000,
11.771,1,3,Red,0.0000,
11.826,1,3,Red,0.0000,
11.882,1,3,Red,0.0000,
13.024,1,3,Red,0.0000,PickedUp
13.067,1,3,Red,0.0000,
13.122,1,3,Red,0.0000,
13.178,1,3,Red,0.0000,
13.233,1,3,Red,0.0000,
13.289,1,3,Red,0.0000,
13.344,1,3,Red,0.0000,
13.400,1,3,Red,0.0000,
13.455,1,3,Red,0.0000,
13.623,1,3,Red,0.0000,PickedUp
13.664,1,3,Red,0.0000,
13.720,1,3,Red,0.0000,
13.776,1,3,Red,0.0000,
13.831,1,3,Red,0.0000,
13.887,1,3,Red,0.0000,
13.943,1,3,Red,0.0000,
15.502,1,3,Red,0.0000,PickedUp
15.544,1,3,Red,0.0000,
15.599,1,3,Red,0.0000,
15.655,1,3,Red,0.0000,
15.711,1,3,Red,0.0000,
15.766,1,3,Red,0.0000,
15.822,1,3,Red,0.0000,
15.878,1,3,Red,0.0000,
15.934,1,3,Red,0.0000,
15.989,1,3,Red,0.0000,
16.046,1,3,Red,0.0000,
16.101,1,3,Red,0.0000,
16.156,1,3,Red,0.0000,
16.212,1,3,Red,0.0000,
16.267,1,3,Red,0.0000,
16.323,1,3,Red,0.0000,
16.379,1,3,Red,0.0000,
16.435,1,3,Red,0.0000,
16.490,1,3,Red,0.0000,
16.546,1,3,Red,0.0000,
16.602,1,3,Red,0.0000,
16.657,1,3,Red,0.0000,
16.713,1,3,Red,0.0000,
16.769,1,3,Red,0.0000,
16.824,1,3,Red,0.0000,
16.881,1,3,Red,0.0000,
16.936,1,3,Red,0.0000,
16.992,1,3,Red,0.0000,
17.047,1,3,Red,0.0000,
17.103,1,3,Red,0.0000,
17.159,1,3,Red,0.0000,
17.214,1,3,Red,0.0000,
17.270,1,3,Red,0.0000,
17.326,1,3,Red,0.0000,
