timeSec,trialIndex,configurationIndex,pegColor,force,event
12.481,1,3,Red,0.0000,PickedUp
12.523,1,3,Red,0.0000,
12.578,1,3,Red,0.0000,
12.633,1,3,Red,0.0000,
12.689,1,3,Red,0.0000,
12.744,1,3,Red,0.0000,
12.800,1,3,Red,0.0000,
12.855,1,3,Red,0.0000,
13.147,1,3,Green,0.0000,PickedUp
13.190,1,3,Green,0.0000,
13.244,1,3,Green,0.0000,
13.300,1,3,Green,0.0000,
13.355,1,3,Green,0.0000,
13.411,1,3,Green,0.0000,
13.467,1,3,Green,0.0000,
13.522,1,3,Green,0.0000,
13.578,1,3,Green,0.0000,
13.634,1,3,Green,0.0000,
13.689,1,3,Green,0.0000,
13.744,1,3,Green,0.0000,
13.800,1,3,Green,0.0000,
13.856,1,3,Green,0.0000,
13.912,1,3,Green,0.0000,
13.967,1,3,Green,0.0000,
14.023,1,3,Green,0.0000,
15.189,1,3,Green,0.0000,PickedUp
15.232,1,3,Green,0.0000,
15.287,1,3,Green,0.0000,
15.342,1,3,Green,0.0000,
15.398,1,3,Green,0.0000,
15.453,1,3,Green,0.0000,
15.509,1,3,Green,0.0000,
15.564,1,3,Green,0.0000,
15.620,1,3,Green,0.0000,
15.675,1,3,Green,0.0000,
15.731,1,3,Green,0.0000,
15.787,1,3,Green,0.0000,
16.620,1,3,Green,0.0000,PickedUp
16.662,1,3,Green,0.0000,
16.717,1,3,Green,0.0000,
16.773,1,3,Green,0.0000,
16.829,1,3,Green,0.0000,
16.884,1,3,Green,0.0000,
16.939,1,3,Green,0.0000,
16.994,1,3,Green,0.0000,
17.050,1,3,Green,0.0000,
17.106,1,3,Green,0.0000,
17.161,1,3,Green,0.0000,
17.217,1,3,Green,0.0000,
17.273,1,3,Green,0.0000,
17.328,1,3,Green,0.0000,
17.384,1,3,Green,0.0000,
17.439,1,3,Green,0.0000,
17.494,1,3,Green,0.0000,
17.550,1,3,Green,0.0000,
17.606,1,3,Green,0.0000,
17.661,1,3,Green,0.0000,
17.717,1,3,Green,0.0000,
17.773,1,3,Green,0.0000,
17.828,1,3,Green,0.0000,
17.883,1,3,Green,0.0000,
17.939,1,3,Green,0.0000,
17.994,1,3,Green,0.0000,
18.050,1,3,Green,0.0000,
18.105,1,3,Green,0.0000,
18.161,1,3,Green,0.0000,
18.217,1,3,Green,0.0000,
18.272,1,3,Green,0.0000,
18.328,1,3,Green,0.0000,
18.383,1,3,Green,0.0000,
18.439,1,3,Green,0.0000,
18.494,1,3,Green,0.0000,
18.550,1,3,Green,0.0000,
18.606,1,3,Green,0.0000,
18.661,1,3,Green,0.0000,
18.717,1,3,Green,0.0000,
18.772,1,3,Green,0.0000,
18.828,1,3,Green,0.0000,
18.883,1,3,Green,0.0000,
18.939,1,3,Green,0.0000,
18.994,1,3,Green,0.0000,
19.050,1,3,Green,0.0000,
19.105,1,3,Green,0.0000,
19.161,1,3,Green,0.0000,
19.217,1,3,Green,0.0000,
19.272,1,3,Green,0.0000,
19.327,1,3,Green,0.0000,
19.383,1,3,Green,0.0000,
19.440,1,3,Green,0.0000,
19.494,1,3,Green,0.0000,
19.550,1,3,Green,0.0000,
19.605,1,3,Green,0.0000,
19.661,1,3,Green,0.0000,
19.716,1,3,Green,0.0000,
19.772,1,3,Green,0.0000,
19.827,1,3,Green,0.0000,
19.883,1,3,Green,0.0000,
19.939,1,3,Green,0.0000,
19.994,1,3,Green,0.0000,
20.050,1,3,Green,0.0000,
20.105,1,3,Green,0.0000,
20.160,1,3,Green,0.0000,
20.216,1,3,Green,0.0000,
20.272,1,3,Green,0.0000,
20.327,1,3,Green,0.0000,
20.384,1,3,Green,0.0000,
20.438,1,3,Green,0.0000,
20.494,1,3,Green,0.0000,
20.550,1,3,Green,0.0000,
20.605,1,3,Green,0.0000,
20.660,1,3,Green,0.0000,
20.716,1,3,Green,0.0000,
20.771,1,3,Green,0.0000,
20.827,1,3,Green,0.0000,
20.883,1,3,Green,0.0000,
